file,dataset,config,val_acc,val_acc_std,test_acc,test_acc_std,runs,error,has_val
logs/classification_ts/Handwriting_patch-8_stride-2_lr-0.002.log,Handwriting,patch-8_stride-2_lr-0.002,0.0,0.0,25.49019607843137,1.3077123137673,3,False,False
logs/classification_ts/Handwriting_patch-8_stride-4_lr-0.0005.log,Handwriting,patch-8_stride-4_lr-0.0005,0.0,0.0,32.78431372549019,1.2087086280331307,3,False,False
logs/classification_ts/Handwriting_patch-8_stride-4_lr-0.002.log,Handwriting,patch-8_stride-4_lr-0.002,0.0,0.0,27.215686274509803,0.2417417256066255,3,False,False
logs/classification_ts/Handwriting_patch-8_stride-8_lr-0.0005.log,Handwriting,patch-8_stride-8_lr-0.0005,0.0,0.0,28.27450980392157,1.5409319768147847,3,False,False
logs/classification_ts/Handwriting_patch-8_stride-8_lr-0.002.log,Handwriting,patch-8_stride-8_lr-0.002,0.0,0.0,26.156862745098035,2.257543210137138,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-16_lr-0.0001.log,Heartbeat,patch-16_stride-16_lr-0.0001,0.0,0.0,75.60975609756099,1.0537789753508724,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-16_lr-0.0005.log,Heartbeat,patch-16_stride-16_lr-0.0005,0.0,0.0,76.26016260162602,0.6083995750851943,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-16_lr-0.002.log,Heartbeat,patch-16_stride-16_lr-0.002,0.0,0.0,75.60975609756099,1.0537789753508724,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-2_lr-0.0001.log,Heartbeat,patch-16_stride-2_lr-0.0001,0.0,0.0,75.44715447154472,0.6083995750851943,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-2_lr-0.0005.log,Heartbeat,patch-16_stride-2_lr-0.0005,0.0,0.0,73.65853658536587,1.4360586774516837,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-2_lr-0.002.log,Heartbeat,patch-16_stride-2_lr-0.002,0.0,0.0,72.84552845528455,2.0438707463376495,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-4_lr-0.0001.log,Heartbeat,patch-16_stride-4_lr-0.0001,0.0,0.0,76.42276422764228,0.45990684955222644,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-4_lr-0.0005.log,Heartbeat,patch-16_stride-4_lr-0.0005,0.0,0.0,74.63414634146342,1.0537789753508724,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-4_lr-0.002.log,Heartbeat,patch-16_stride-4_lr-0.002,0.0,0.0,74.79674796747969,0.22995342477611322,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-8_lr-0.0001.log,Heartbeat,patch-16_stride-8_lr-0.0001,0.0,0.0,76.42276422764228,0.22995342477611322,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-8_lr-0.0005.log,Heartbeat,patch-16_stride-8_lr-0.0005,0.0,0.0,75.12195121951221,1.3797205486566795,3,False,False
logs/classification_ts/Heartbeat_patch-16_stride-8_lr-0.002.log,Heartbeat,patch-16_stride-8_lr-0.002,0.0,0.0,73.4959349593496,0.45990684955222644,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-16_lr-0.0001.log,Heartbeat,patch-8_stride-16_lr-0.0001,0.0,0.0,76.42276422764228,0.8291088639988277,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-16_lr-0.0005.log,Heartbeat,patch-8_stride-16_lr-0.0005,0.0,0.0,75.28455284552847,1.0023437403201596,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-16_lr-0.002.log,Heartbeat,patch-8_stride-16_lr-0.002,0.0,0.0,73.4959349593496,0.22995342477611322,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-2_lr-0.0001.log,Heartbeat,patch-8_stride-2_lr-0.0001,0.0,0.0,75.44715447154472,0.45990684955222644,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-2_lr-0.0005.log,Heartbeat,patch-8_stride-2_lr-0.0005,0.0,0.0,73.33333333333334,0.8291088639988277,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-2_lr-0.002.log,Heartbeat,patch-8_stride-2_lr-0.002,0.0,0.0,73.00813008130082,0.8291088639988277,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-4_lr-0.0001.log,Heartbeat,patch-8_stride-4_lr-0.0001,0.0,0.0,76.42276422764228,1.3987520759418919,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-4_lr-0.0005.log,Heartbeat,patch-8_stride-4_lr-0.0005,0.0,0.0,73.98373983739837,2.5294876725372455,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-4_lr-0.002.log,Heartbeat,patch-8_stride-4_lr-0.002,0.0,0.0,73.00813008130082,1.149767123880566,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-8_lr-0.0001.log,Heartbeat,patch-8_stride-8_lr-0.0001,0.0,0.0,76.26016260162602,0.45990684955222644,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-8_lr-0.0005.log,Heartbeat,patch-8_stride-8_lr-0.0005,0.0,0.0,76.26016260162602,1.149767123880566,3,False,False
logs/classification_ts/Heartbeat_patch-8_stride-8_lr-0.002.log,Heartbeat,patch-8_stride-8_lr-0.002,0.0,0.0,74.47154471544715,0.6083995750851943,3,False,False
