backbone,tsk_pretext,d_pretext,head_pred,ft_stategy,tsk_target,d_target,frac_dtarget,metric_target,metric
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.20105820105820105
aLLM4TS,aLLM4TS,AE,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7409707844490453
aLLM4TS,aLLM4TS,AE,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7652403956751783
aLLM4TS,aLLM4TS,AE,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7234874626178973
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7347596043248217
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7597193466758684
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5334713595583161
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.583160800552105
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1949620427881297
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.22072693811824248
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.768806073153899
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.762709914883828
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,1.0,accuracy,0.7670807453416146
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,1.0,accuracy,0.7739820565907523
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,1.0,accuracy,0.7315389924085577
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.1,accuracy,0.5748792270531401
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.1,accuracy,0.5328962502875546
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.1,accuracy,0.5663676098458708
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.01,accuracy,0.1955371520588912
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.01,accuracy,0.23567977915804003
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.01,accuracy,0.23360938578329882
aLLM4TS,aLLM4TS,A,aLLM4TS,Full Finetune,HAR,RW-Thigh,0.5,accuracy,0.7645502645502645
aLLM4TS,aLLM4TS,A,aLLM4TS,Partial Freeze,HAR,RW-Thigh,0.5,accuracy,0.7415458937198067
aLLM4TS,aLLM4TS,A,aLLM4TS,Freeze,HAR,RW-Thigh,0.5,accuracy,0.7168161950770647
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.7916666666666665
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7830504115226337
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.6748971193415639
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.6539351851851852
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.2400977366255144
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.01,accuracy,0.2635030864197531
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.5,accuracy,0.7911522633744856
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.5,accuracy,0.8005401234567899
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,1.0,accuracy,0.8011831275720165
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,1.0,accuracy,0.7874228395061728
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,1.0,accuracy,0.7824074074074074
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.1,accuracy,0.6198559670781894
aLLM4TS,aLLM4TS,AD,aLLM4TS,Partial Freeze,HAR,RW-Waist,0.1,accuracy,0.6526491769547326
aLLM4TS,aLLM4TS,AD,aLLM4TS,Freeze,HAR,RW-Waist,0.1,accuracy,0.6397890946502057
aLLM4TS,aLLM4TS,AD,aLLM4TS,Full Finetune,HAR,RW-Waist,0.01,accuracy,0.3019547325102881
