name,path,dataset_name,patch_size,stride,pretrain_dataset,normalization,percent,ft_strategy,head,train_embedding,test_embedding,n_neighbors,exp_no,accuracy
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,3,1,0.20531400966183574
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,5,1,0.21325051759834368
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,2,2,0.7118702553485162
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,3,2,0.7249827467218771
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_2/test_projections_after_training.npy,5,2,0.7291235334713596
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,2,0,0.6480331262939959
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,3,0,0.6756383712905452
RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac,RealWorld_thigh,8,8,A,yes,100,1,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_thigh_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-1_head-hiaac/LLM4TS_cls_RealWorld_thigh_sl720_pl720_llml6_lr0.002_bs128_percent100_exp_0/test_projections_after_training.npy,5,0,0.6904761904761905
RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac,RealWorld_waist,8,8,A,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_RealWorld_waist_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_RealWorld_waist_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,2,1,0.5443672839506173
RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac,RealWorld_waist,8,8,A,yes,100,2,hiaac,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_RealWorld_waist_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/train_projections_after_training.npy,/workspaces/HIAAC-KR-Dev-Container/workspace/aLLM4TS/checkpoints/classification/RealWorld_waist_patch-8_stride-8_aLLM4TS-A_norm-yes_percent-100_freeze-2_head-hiaac/LLM4TS_cls_RealWorld_waist_sl60_pl0_llml6_lr0.002_bs128_percent100_exp_1/test_projections_after_training.npy,3,1,0.5169753086419753
